timestamp,open,high,low,close,volume
2023-11-23,17.9,18.11,17.0,17.37,44284.821
2023-11-24,17.37,17.85,17.09,17.56,45917.553
2023-11-25,17.56,17.78,17.0,17.65,52169.152
2023-11-26,17.65,19.2,17.3,18.01,107287.029
2023-11-27,18.01,20.65,17.52,17.87,367108.038
2023-11-28,17.87,18.55,17.71,18.01,92253.146
2023-11-29,18.04,18.2,16.91,17.27,64412.278
2023-11-30,17.23,17.72,17.0,17.57,40980.535
2023-12-01,17.57,19.5,17.35,18.58,422616.285
2023-12-02,18.56,19.09,18.0,18.17,178388.85
2023-12-03,18.19,18.81,17.67,17.8,160677.755
2023-12-04,17.8,18.4,17.38,17.9,74775.4
2023-12-05,17.92,18.15,17.32,17.55,67415.639
2023-12-06,17.6,17.97,17.11,17.18,55404.528
2023-12-07,17.21,17.59,16.92,17.36,41670.21
2023-12-08,17.36,18.4,17.1,17.66,95913.118
2023-12-09,17.62,19.38,17.4,18.06,195863.899
2023-12-10,18.08,18.76,17.68,18.24,56591.078
2023-12-11,18.24,18.82,17.28,17.6,82120.596
2023-12-12,17.59,18.12,17.28,17.51,34490.15
2023-12-13,17.51,18.07,17.19,17.96,41456.191
2023-12-14,17.96,18.8,17.8,18.0,74386.183
2023-12-15,18.0,18.29,17.65,17.66,27206.881
2023-12-16,17.66,18.3,17.46,17.66,27716.578
2023-12-17,17.7,19.35,17.5,17.65,102370.271
2023-12-18,17.69,17.76,17.08,17.39,28583.722
2023-12-19,17.39,17.76,17.1,17.26,25473.016
2023-12-20,17.26,17.84,17.2,17.64,21198.374
2023-12-21,17.61,17.81,17.34,17.68,22595.294
2023-12-22,17.68,17.76,17.35,17.56,23157.274
2023-12-23,17.56,19.14,17.3,17.69,85443.807
2023-12-24,17.69,19.14,17.61,18.11,111652.822
2023-12-25,18.11,19.45,18.05,18.5,100205.41
2023-12-26,18.5,24.5,17.89,18.96,473541.465
2023-12-27,19.01,24.27,18.75,19.91,692845.388
2023-12-28,19.91,20.32,18.2,18.78,94867.643
2023-12-29,18.79,19.21,18.05,18.53,57904.817
2023-12-30,18.5,20.1,18.22,19.16,159073.747
2023-12-31,19.16,19.37,18.31,18.57,65517.323
2024-01-01,18.57,21.55,18.3,19.7,182651.102
2024-01-02,19.7,19.95,19.0,19.36,54581.968
2024-01-03,19.36,19.89,17.5,18.1,79678.625
2024-01-04,18.08,18.44,17.81,18.31,34784.536
2024-01-05,18.31,18.36,16.9,17.41,47415.769
2024-01-06,17.41,17.42,16.48,17.08,31988.47
2024-01-07,17.08,17.56,16.62,16.72,30696.618
2024-01-08,16.77,17.01,15.61,16.93,26047.733
2024-01-09,16.93,16.98,15.72,16.13,29851.098
2024-01-10,16.13,17.25,15.65,16.84,28550.673
2024-01-11,16.87,17.9,16.77,17.54,44719.789
2024-01-12,17.48,18.08,16.5,16.89,36386.678
2024-01-13,16.94,17.47,16.63,17.29,21209.011
2024-01-14,17.29,17.53,16.83,16.9,23660.51
2024-01-15,16.86,17.3,16.81,17.05,12750.224
2024-01-16,17.06,17.82,17.06,17.28,24375.565
2024-01-17,17.28,17.7,17.01,17.12,21830.13
2024-01-18,17.12,17.26,16.11,16.23,19244.643
2024-01-19,16.23,17.21,15.85,16.88,32408.703
2024-01-20,16.88,17.06,16.36,16.87,25413.533
2024-01-21,16.9,17.2,16.44,16.79,15156.256
2024-01-22,16.76,17.07,15.88,15.95,17019.38
2024-01-23,15.91,18.78,15.03,15.58,238840.883
2024-01-24,15.58,16.09,15.34,15.76,29812.253
2024-01-25,15.79,15.94,15.11,15.49,26835.432
2024-01-26,15.49,16.24,15.32,15.97,24927.404
2024-01-27,15.99,17.18,15.65,15.92,84402.638
2024-01-28,15.96,16.41,15.65,15.69,42039.301
2024-01-29,15.69,16.09,15.64,15.96,23871.497
2024-01-30,15.99,16.03,15.63,15.64,37248.496
2024-01-31,15.64,15.84,15.11,15.13,30244.324
2024-02-01,15.16,15.63,15.01,15.26,29320.623
2024-02-02,15.26,16.8,15.24,16.1,137345.435
2024-02-03,16.1,16.26,15.4,15.7,44709.018
2024-02-04,15.72,18.31,15.53,15.9,229205.628
2024-02-05,15.9,16.67,15.7,15.9,69846.226
2024-02-06,15.88,16.13,15.54,15.73,26783.508
2024-02-07,15.7,16.18,15.51,15.93,35859.829
