timestamp,open,high,low,close,volume
2023-11-24,5.139,5.294,5.118,5.242,5725071.98
2023-11-25,5.242,5.389,5.213,5.328,3228936.41
2023-11-26,5.328,5.415,5.145,5.329,4327342.3
2023-11-27,5.329,5.377,5.037,5.156,6281479.69
2023-11-28,5.156,5.313,5.102,5.275,5448920.48
2023-11-29,5.275,5.4,5.15,5.161,4978065.6
2023-11-30,5.161,5.591,5.118,5.473,9449624.6
2023-12-01,5.473,5.525,5.369,5.471,3790598.48
2023-12-02,5.47,5.604,5.45,5.562,3691046.39
2023-12-03,5.562,5.624,5.43,5.541,4369800.25
2023-12-04,5.54,5.721,5.421,5.632,8239235.76
2023-12-05,5.633,5.946,5.511,5.907,11736819.83
2023-12-06,5.907,6.205,5.77,6.046,11202513.64
2023-12-07,6.045,6.3,5.901,6.242,8281399.33
2023-12-08,6.242,6.914,6.166,6.837,11355959.93
2023-12-09,6.838,7.689,6.83,7.101,16985044.2
2023-12-10,7.102,7.362,6.959,7.348,6780828.9
2023-12-11,7.348,7.361,6.285,6.709,12451395.17
2023-12-12,6.706,7.353,6.696,7.131,13610015.42
2023-12-13,7.133,7.648,6.613,7.603,11463964.93
2023-12-14,7.602,7.769,6.955,7.507,12681742.91
2023-12-15,7.508,7.564,6.926,6.951,10696904.91
2023-12-16,6.951,7.352,6.859,7.092,6517746.9
2023-12-17,7.092,7.163,6.749,6.784,6649743.84
2023-12-18,6.785,6.886,6.368,6.885,7414872.74
2023-12-19,6.884,7.049,6.612,6.706,5474784.2
2023-12-20,6.706,7.136,6.618,6.951,8621839.76
2023-12-21,6.952,8.435,6.915,8.42,27166695.07
2023-12-22,8.422,8.58,7.841,7.954,16078478.66
2023-12-23,7.954,8.446,7.578,8.326,12748793.29
2023-12-24,8.326,9.2,8.315,8.611,26401737.92
2023-12-25,8.612,9.4,8.499,9.191,19304116.18
2023-12-26,9.192,9.593,8.353,8.819,14922261.11
2023-12-27,8.819,9.063,8.402,8.694,9947554.08
2023-12-28,8.695,8.912,8.263,8.426,9422637.54
2023-12-29,8.427,8.686,8.049,8.291,11281188.12
2023-12-30,8.291,8.489,8.095,8.346,4747990.66
2023-12-31,8.346,8.648,8.025,8.202,6738987.99
2024-01-01,8.203,8.63,8.061,8.595,5268802.23
2024-01-02,8.594,8.806,8.317,8.411,6792266.31
2024-01-03,8.408,8.575,6.5,7.626,14473959.94
2024-01-04,7.626,7.999,7.469,7.879,7500909.27
2024-01-05,7.879,7.954,7.178,7.45,7631254.61
2024-01-06,7.448,7.448,6.943,7.133,4644445.49
2024-01-07,7.132,7.327,6.817,6.899,4713975.33
2024-01-08,6.899,7.506,6.51,7.483,8524497.42
2024-01-09,7.483,7.527,6.908,7.129,6989170.94
2024-01-10,7.128,8.091,6.8,7.991,9967541.16
2024-01-11,7.99,8.58,7.85,8.148,12836225.08
2024-01-12,8.147,8.212,7.31,7.567,8688542.18
2024-01-13,7.566,7.753,7.37,7.617,4481440.54
2024-01-14,7.618,7.699,7.316,7.319,3486216.3
2024-01-15,7.319,7.692,7.308,7.509,4209668.41
2024-01-16,7.509,7.688,7.339,7.493,4432209.01
2024-01-17,7.492,7.597,7.255,7.35,4237892.42
2024-01-18,7.349,7.39,6.82,7.017,6630266.6
