timestamp,open,high,low,close,volume
2023-11-23,43.45,44.52,43.14,44.01,134388.44
2023-11-24,44.02,47.5,43.75,47.26,372734.55
2023-11-25,47.27,47.49,45.3,46.69,175885.74
2023-11-26,46.7,46.7,44.07,45.21,148157.9
2023-11-27,45.27,45.42,43.18,43.96,135883.56
2023-11-28,43.98,44.19,42.32,43.92,109157.91
2023-11-29,43.91,44.65,42.94,43.51,104235.38
2023-11-30,43.51,43.88,42.7,43.47,74595.96
2023-12-01,43.49,45.76,42.99,45.4,148437.35
2023-12-02,45.4,46.54,45.15,46.44,125443.69
2023-12-03,46.44,53.27,45.84,49.58,745235.22
2023-12-04,49.58,53.89,48.1,52.22,572533.15
2023-12-05,52.24,52.29,48.78,50.36,291268.43
2023-12-06,50.37,51.91,47.74,48.53,273422.17
2023-12-07,48.53,50.19,47.35,50.01,195564.54
2023-12-08,50.02,52.63,49.15,52.29,298398.82
2023-12-09,52.29,61.29,51.78,60.29,626677.62
2023-12-10,60.28,68.41,58.35,64.57,1212730.31
2023-12-11,64.55,67.21,59.96,63.78,903951.88
2023-12-12,63.77,69.6,60.65,61.97,583228.84
2023-12-13,61.96,63.08,57.12,62.48,376588.7
2023-12-14,62.5,62.51,58.0,61.13,295660.43
2023-12-15,61.15,61.3,57.74,57.91,182491.55
2023-12-16,57.93,63.17,56.92,61.01,250986.08
2023-12-17,61.01,65.32,60.65,61.13,304733.61
2023-12-18,61.12,61.7,54.28,59.69,361085.29
2023-12-19,59.69,60.2,56.6,57.94,183262.72
2023-12-20,57.94,63.3,56.74,63.06,289427.15
2023-12-21,63.07,64.81,61.3,62.1,300333.68
2023-12-22,62.11,62.71,59.24,61.95,230376.41
2023-12-23,61.92,66.42,60.47,65.51,333101.71
2023-12-24,65.54,75.59,64.78,72.67,951432.15
2023-12-25,72.68,78.1,71.84,72.78,511482.46
2023-12-26,72.8,73.6,65.99,71.26,428198.47
2023-12-27,71.26,74.46,69.63,70.73,299167.44
2023-12-28,70.74,71.41,66.5,69.5,226657.07
2023-12-29,69.51,72.11,67.07,71.55,257090.07
2023-12-30,71.55,71.55,67.23,68.6,122633.46
2023-12-31,68.62,70.75,66.74,67.92,172355.15
2024-01-01,67.9,71.8,66.66,71.37,208859.8
2024-01-02,71.37,72.92,68.39,68.99,250961.7
2024-01-03,69.08,71.01,51.0,59.79,595602.82
2024-01-04,59.77,60.99,56.1,60.15,310345.56
2024-01-05,60.14,60.42,54.78,57.12,244197.79
2024-01-06,57.12,57.15,51.86,54.59,219389.92
2024-01-07,54.58,56.1,51.0,51.67,156915.57
2024-01-08,51.67,56.04,46.64,55.54,333673.04
2024-01-09,55.54,55.74,51.16,52.99,215622.65
2024-01-10,52.96,58.91,50.15,56.66,345022.03
2024-01-11,56.69,60.12,55.58,57.67,313735.18
2024-01-12,57.66,58.6,51.87,53.89,242814.57
2024-01-13,53.87,54.85,52.11,54.46,115039.63
2024-01-14,54.5,55.69,52.15,52.35,123576.85
2024-01-15,52.36,54.83,52.24,53.22,100061.23
2024-01-16,53.22,56.9,53.22,55.44,251747.05
2024-01-17,55.44,57.79,53.74,54.82,214321.78
2024-01-18,54.83,54.86,50.31,51.55,140480.01
2024-01-19,51.55,52.31,47.75,50.9,183433.88
2024-01-20,50.89,53.59,50.28,52.6,156383.05
2024-01-21,52.59,53.06,51.39,51.54,73444.88
2024-01-22,51.53,52.55,48.69,49.73,178939.96
2024-01-23,49.73,51.17,46.17,48.79,219995.82
2024-01-24,48.79,51.22,48.42,49.84,158303.02
2024-01-25,49.83,49.88,47.5,49.02,102350.3
2024-01-26,49.03,52.14,48.5,51.82,132032.94
2024-01-27,51.86,53.92,51.09,53.58,106501.15
2024-01-28,53.62,54.34,52.16,53.07,119576.86
2024-01-29,53.08,56.12,52.56,55.88,180483.28
2024-01-30,55.92,59.13,55.15,57.06,279674.59
2024-01-31,57.1,57.37,52.24,53.17,268238.05
2024-02-01,53.17,53.97,51.43,53.49,219438.58
2024-02-02,53.5,57.15,53.22,55.4,224176.69
2024-02-03,55.41,55.82,53.87,54.06,61603.26
2024-02-04,54.08,54.42,52.75,53.49,82944.78
2024-02-05,53.47,54.43,52.39,53.35,76990.56
2024-02-06,53.34,53.87,52.25,52.55,85487.07
2024-02-07,52.55,53.62,50.91,53.47,124695.67
2024-02-08,53.5,55.94,52.84,53.92,239460.21
2024-02-09,53.94,55.49,53.78,55.34,145580.07
2024-02-10,55.35,58.0,54.98,56.97,232313.21
2024-02-11,56.96,57.24,54.91,55.76,100625.25
