timestamp,open,high,low,close,volume
2023-11-23,14.99,15.14,14.73,14.94,13757.289
2023-11-24,14.95,15.3,14.93,15.14,23337.425
2023-11-25,15.15,15.56,15.09,15.56,16276.976
2023-11-26,15.56,15.68,15.23,15.32,30261.542
2023-11-27,15.3,15.46,14.76,15.0,28224.283
2023-11-28,15.0,15.17,14.72,15.09,12859.532
2023-11-29,15.09,15.21,14.83,15.12,10919.204
2023-11-30,15.11,15.42,14.9,15.14,21053.131
2023-12-01,15.14,15.68,14.89,15.35,44508.966
2023-12-02,15.35,16.82,15.32,15.78,125450.798
2023-12-03,15.77,16.32,15.53,15.63,30400.654
2023-12-04,15.67,16.37,15.6,16.12,31722.387
2023-12-05,16.12,16.3,15.66,16.17,35350.112
2023-12-06,16.17,16.24,15.73,16.1,26164.389
2023-12-07,16.1,16.63,15.8,16.18,59436.617
2023-12-08,16.18,17.15,16.1,16.84,31064.155
2023-12-09,16.84,17.71,16.7,17.3,47979.232
2023-12-10,17.35,18.04,16.86,17.33,53259.466
2023-12-11,17.34,17.88,16.6,17.24,53328.776
2023-12-12,17.25,17.68,16.44,17.13,41769.216
2023-12-13,17.14,17.18,16.24,16.99,31346.396
2023-12-14,16.99,17.32,16.25,16.86,49768.017
2023-12-15,16.85,16.89,15.58,15.69,45341.599
2023-12-16,15.68,16.14,15.51,15.98,19237.949
2023-12-17,16.0,16.54,15.7,15.86,25591.478
2023-12-18,15.89,16.05,14.92,15.83,28780.385
2023-12-19,15.86,16.64,15.74,16.15,36727.483
2023-12-20,16.18,16.74,16.08,16.58,24781.719
2023-12-21,16.59,18.06,16.49,17.2,82023.045
2023-12-22,17.21,17.67,16.94,17.59,27866.669
2023-12-23,17.59,20.9,17.29,18.65,266830.398
2023-12-24,18.65,20.12,18.05,18.36,127251.356
2023-12-25,18.36,19.84,18.26,19.33,60294.735
2023-12-26,19.34,28.9,18.45,21.89,668821.62
2023-12-27,21.97,29.68,20.16,23.46,1112357.245
2023-12-28,23.42,23.84,20.94,21.51,167828.249
2023-12-29,21.5,22.05,19.89,20.31,96876.222
2023-12-30,20.34,24.2,20.17,21.2,457132.471
2023-12-31,21.22,23.2,20.57,21.05,171851.039
2024-01-01,21.04,22.84,20.07,21.65,160403.988
2024-01-02,21.68,22.58,20.76,21.21,78966.353
2024-01-03,21.2,22.24,18.34,19.23,122068.828
2024-01-04,19.21,20.43,19.0,19.95,43765.894
2024-01-05,19.97,20.0,18.1,18.42,37616.268
2024-01-06,18.42,19.23,17.14,18.73,38465.152
2024-01-07,18.73,20.09,17.34,17.57,39939.808
2024-01-08,17.57,18.05,16.78,17.71,31894.789
2024-01-09,17.73,18.22,16.96,17.53,30851.114
2024-01-10,17.49,18.59,17.04,18.35,38157.621
2024-01-11,18.37,19.66,18.3,19.44,53972.393
2024-01-12,19.35,21.26,18.19,18.61,71329.87
2024-01-13,18.59,19.32,18.37,19.16,16028.349
2024-01-14,19.16,19.27,18.43,18.49,15138.692
2024-01-15,18.49,19.31,18.43,18.8,14657.999
2024-01-16,18.81,19.74,18.56,19.22,21393.576
2024-01-17,19.22,19.27,18.37,18.74,28089.967
2024-01-18,18.69,19.2,17.61,17.95,25347.617
2024-01-19,17.95,18.28,16.99,17.97,28869.977
2024-01-20,17.94,19.15,17.91,18.46,36788.483
2024-01-21,18.46,19.25,18.26,18.58,19158.889
2024-01-22,18.58,18.71,17.04,17.23,34976.415
2024-01-23,17.21,17.92,16.65,17.29,52216.66
2024-01-24,17.26,17.63,16.92,17.56,17533.435
2024-01-25,17.52,18.26,17.28,17.54,43641.223
2024-01-26,17.54,17.97,17.4,17.97,14903.329
2024-01-27,17.97,20.8,17.64,17.88,253605.106
2024-01-28,17.9,18.25,17.48,17.52,31040.812
2024-01-29,17.53,18.23,17.46,17.81,29391.582
2024-01-30,17.81,18.05,17.28,17.33,49694.724
2024-01-31,17.33,17.37,16.11,16.5,29832.298
2024-02-01,16.51,17.19,16.11,16.57,35135.115
2024-02-02,16.59,17.63,16.58,17.12,28477.101
2024-02-03,17.14,17.9,17.12,17.72,31001.814
2024-02-04,17.73,18.33,17.07,17.08,51776.857
2024-02-05,17.1,17.24,16.84,16.92,15498.262
2024-02-06,16.9,17.05,16.8,16.86,11285.22
2024-02-07,16.86,17.52,16.8,17.39,16084.192
2024-02-08,17.4,17.73,17.4,17.53,19939.159
2024-02-09,17.53,18.15,17.45,18.12,27856.108
2024-02-10,18.13,18.21,17.81,17.98,22427.633
2024-02-11,17.99,18.23,17.67,17.76,14859.969
2024-02-12,17.77,18.15,17.56,18.04,17342.298
2024-02-13,18.04,18.18,17.8,18.05,12457.181
2024-02-14,18.04,18.44,17.89,18.41,16082.321
2024-02-15,18.4,18.89,18.12,18.25,23723.847
2024-02-16,18.24,18.46,18.03,18.31,32651.552
2024-02-17,18.31,19.0,18.06,18.39,40372.23
2024-02-18,18.37,18.9,18.11,18.73,24250.12
2024-02-19,18.73,19.1,18.65,18.89,24112.914
2024-02-20,18.9,18.95,17.67,18.49,31424.978
2024-02-21,18.49,18.73,17.38,17.99,18099.254
2024-02-22,17.98,18.83,17.62,18.18,24601.925
2024-02-23,18.18,19.0,17.92,18.27,39919.94
2024-02-24,18.27,19.14,18.01,18.66,39823.858
2024-02-25,18.67,19.05,18.62,18.92,19513.769
2024-02-26,18.92,19.33,18.5,19.24,22027.234
2024-02-27,19.25,20.19,19.23,19.81,39503.581
2024-02-28,19.8,20.5,19.29,19.85,44444.752
2024-02-29,19.85,20.66,19.32,19.87,36552.522
2024-03-01,19.87,20.59,19.78,20.51,19894.74
2024-03-02,20.51,21.74,20.29,21.64,37891.695
2024-03-03,21.65,21.87,20.5,21.39,37719.671
2024-03-04,21.4,23.01,21.0,22.4,72758.79
2024-03-05,22.41,23.89,19.71,21.23,115185.231
2024-03-06,21.26,23.24,20.94,22.9,67104.676
2024-03-07,22.9,24.49,22.46,24.07,62917.322
2024-03-08,24.08,25.0,22.9,24.12,85138.379
2024-03-09,24.12,24.64,23.74,24.4,33645.486
2024-03-10,24.4,24.76,22.73,23.98,82853.26
2024-03-11,23.98,24.97,22.93,24.51,53463.001
2024-03-12,24.5,26.15,23.52,25.92,107185.821
2024-03-13,25.92,26.96,25.08,26.36,81644.786
2024-03-14,26.33,26.8,24.32,25.33,68824.243
2024-03-15,25.34,25.78,22.52,23.39,105717.779
2024-03-16,23.38,24.43,21.83,22.19,47718.856
2024-03-17,22.19,23.22,21.54,22.91,41384.417
2024-03-18,22.9,23.38,21.32,22.04,83948.169
2024-03-19,22.01,22.11,20.05,20.27,50258.664
2024-03-20,20.25,21.06,19.36,20.95,69151.406
2024-03-21,20.96,23.0,20.4,21.5,73843.787
2024-03-22,21.51,35.65,21.46,31.87,1748858.493
2024-03-23,31.82,32.15,25.98,28.21,456468.416
2024-03-24,28.22,28.35,25.13,26.19,148698.453
2024-03-25,26.2,27.03,25.21,26.13,130164.948
2024-03-26,26.09,27.53,25.51,25.73,73636.102
2024-03-27,25.77,34.35,25.4,28.07,386341.908
2024-03-28,28.05,28.11,26.31,26.56,112863.486
2024-03-29,26.53,26.59,25.41,26.43,49577.73
2024-03-30,26.43,27.01,24.73,25.8,142556.872
2024-03-31,25.79,33.0,25.26,27.17,374968.13
2024-04-01,27.2,27.95,25.29,25.95,104906.147
2024-04-02,25.96,26.39,24.03,24.11,52645.845
2024-04-03,24.13,26.07,23.35,24.62,72407.118
2024-04-04,24.59,27.46,24.07,25.12,127445.484
2024-04-05,25.08,25.21,23.11,24.2,60993.876
2024-04-06,24.19,24.9,23.86,24.65,38659.338
2024-04-07,24.63,32.23,24.57,26.51,477295.454
2024-04-08,26.51,26.73,25.01,25.32,175190.892
2024-04-09,25.33,28.88,24.79,26.31,267483.566
2024-04-10,26.3,28.5,25.11,25.72,317235.82
2024-04-11,25.7,27.43,25.44,25.97,91999.883
2024-04-12,25.96,27.4,22.97,23.22,127181.357
2024-04-13,23.22,23.36,19.12,20.73,79697.226
2024-04-14,20.75,22.17,19.61,21.85,39003.239
2024-04-15,21.85,22.73,20.7,21.53,53225.485
2024-04-16,21.53,21.93,20.32,21.53,36375.183
2024-04-17,21.53,21.84,19.94,20.49,50026.845
