timestamp,open,high,low,close,volume
2023-11-24,15.48,16.58,15.34,16.23,359838.19
2023-11-25,16.23,16.66,15.89,16.33,195576.73
2023-11-26,16.34,16.65,15.36,15.78,208358.52
2023-11-27,15.78,15.93,14.91,15.49,302093.5
2023-11-28,15.5,16.09,14.87,15.64,159482.79
2023-11-29,15.65,16.35,15.38,15.54,249904.92
2023-11-30,15.54,15.72,15.24,15.61,77722.12
2023-12-01,15.61,15.75,15.3,15.37,88173.3
2023-12-02,15.37,15.85,15.32,15.77,101618.16
2023-12-03,15.77,16.05,15.47,15.75,190974.27
2023-12-04,15.75,16.16,15.08,15.79,177244.13
2023-12-05,15.79,16.3,15.55,16.17,157972.51
2023-12-06,16.17,16.42,15.43,15.88,144316.82
2023-12-07,15.88,16.3,15.59,16.13,90777.8
2023-12-08,16.15,16.51,16.0,16.51,89284.71
2023-12-09,16.51,16.93,16.02,16.16,125554.4
2023-12-10,16.15,16.4,15.59,16.02,105315.16
2023-12-11,16.02,16.09,14.04,14.98,251176.46
2023-12-12,14.95,15.43,14.72,15.28,117900.58
2023-12-13,15.29,15.47,14.6,15.26,127257.4
2023-12-14,15.33,15.6,14.91,15.42,144778.52
2023-12-15,15.41,17.36,15.19,15.93,649658.36
2023-12-16,15.93,16.72,15.7,16.61,274475.39
2023-12-17,16.59,17.29,15.84,16.52,318308.31
2023-12-18,16.51,16.76,15.05,16.08,243342.53
2023-12-19,16.08,16.69,15.8,15.9,143208.87
2023-12-20,15.9,17.39,15.8,16.75,223551.82
2023-12-21,16.77,17.37,16.51,16.84,186203.7
2023-12-22,16.84,17.63,16.42,17.21,222923.67
2023-12-23,17.22,17.28,16.58,17.04,140849.13
2023-12-24,17.04,18.09,16.7,17.27,243289.59
2023-12-25,17.26,18.24,16.99,17.98,195799.98
2023-12-26,17.98,18.22,16.4,17.42,203367.4
2023-12-27,17.42,18.42,16.7,18.17,197726.13
2023-12-28,18.19,18.33,16.77,17.14,160454.31
2023-12-29,17.16,20.67,16.54,18.61,806421.51
2023-12-30,18.61,22.29,18.29,20.18,1608647.84
2023-12-31,20.17,22.0,19.62,20.39,527178.9
2024-01-01,20.39,22.7,18.9,21.89,530990.05
2024-01-02,21.9,22.8,20.82,21.17,660071.21
2024-01-03,21.14,22.09,16.25,19.1,339643.79
2024-01-04,19.09,21.22,18.85,20.97,325594.92
2024-01-05,20.97,21.6,19.85,20.45,196119.53
2024-01-06,20.45,20.49,18.94,19.71,107380.8
2024-01-07,19.69,20.44,17.82,17.95,125001.81
2024-01-08,17.95,18.47,16.39,18.37,150176.92
2024-01-09,18.37,18.4,16.42,16.98,142052.79
2024-01-10,16.98,18.4,16.61,18.17,223896.22
2024-01-11,18.19,19.32,17.86,18.54,183713.78
2024-01-12,18.54,19.22,17.15,17.78,167366.35
2024-01-13,17.8,18.12,17.16,17.94,80220.74
