timestamp,open,high,low,close,volume
2024-08-14,64.8,65.8,62.9,63.2,17866.482
2024-08-15,63.3,64.7,61.4,62.1,19125.531
2024-08-16,62.2,63.8,60.8,62.9,18671.601
2024-08-17,62.9,63.4,62.0,63.3,9347.57
2024-08-18,63.4,63.5,61.9,62.5,14000.631
2024-08-19,62.5,62.5,60.7,61.8,19514.955
2024-08-20,61.8,64.2,61.7,63.6,18089.765
2024-08-21,63.6,65.3,62.6,64.4,13219.601
2024-08-22,64.4,67.7,63.9,67.6,14137.926
2024-08-23,67.7,71.2,67.5,70.8,17904.096
2024-08-24,70.8,72.2,69.8,71.5,16777.248
2024-08-25,71.4,71.6,68.1,68.8,16133.524
2024-08-26,68.9,69.7,65.5,66.0,24639.17
2024-08-27,65.9,67.1,62.3,63.6,24547.483
2024-08-28,63.6,66.5,62.1,63.7,27413.334
2024-08-29,63.6,66.7,63.5,64.6,19098.828
2024-08-30,64.5,65.8,62.2,64.0,26844.671
2024-08-31,64.0,64.6,62.4,62.5,12635.188
2024-09-01,62.5,62.7,60.0,60.6,11666.868
2024-09-02,60.6,62.7,59.9,62.4,17353.276
2024-09-03,62.4,64.0,60.2,60.2,12409.917
2024-09-04,60.2,62.8,58.1,62.4,18940.533
2024-09-05,62.3,62.6,59.7,60.2,15638.762
2024-09-06,60.2,61.3,55.9,57.4,34649.436
2024-09-07,57.4,60.2,56.8,60.2,14005.59
2024-09-08,60.2,69.8,60.1,69.1,122310.64
2024-09-09,69.1,74.0,69.1,73.4,76394.255
2024-09-10,73.4,75.0,72.3,72.7,44603.161
2024-09-11,72.8,72.8,70.6,70.7,33768.009
2024-09-12,70.7,77.7,70.1,77.7,38261.619
2024-09-13,77.7,78.0,75.4,76.4,40644.144
2024-09-14,76.5,76.6,73.8,74.3,19271.107
2024-09-15,74.3,75.9,72.1,72.9,19892.976
2024-09-16,72.9,73.5,69.5,70.6,20292.054
2024-09-17,70.5,71.9,69.3,69.6,21667.667
2024-09-18,69.6,73.9,68.9,73.2,27447.783
2024-09-19,73.2,75.6,71.9,73.9,33890.102
2024-09-20,73.9,77.3,73.3,76.9,24300.008
2024-09-21,76.9,77.5,73.9,75.0,18849.645
2024-09-22,75.0,75.2,72.4,73.8,17869.848
2024-09-23,73.9,79.2,72.5,78.1,29605.137
2024-09-24,78.2,78.9,76.1,77.6,25366.987
2024-09-25,77.7,80.3,76.8,78.0,21122.051
2024-09-26,78.1,80.8,77.1,79.3,21579.012
2024-09-27,79.2,80.9,77.1,78.5,35126.134
2024-09-28,78.5,79.6,76.1,77.2,18004.884
2024-09-29,77.2,78.0,74.8,76.1,23317.835
2024-09-30,76.0,76.3,72.2,73.0,25672.078
2024-10-01,73.1,74.7,67.8,68.6,52687.69
2024-10-02,68.5,70.5,66.4,67.1,32358.745
2024-10-03,67.1,69.6,66.7,68.1,25766.312
2024-10-04,68.1,70.6,67.3,70.4,24130.639
2024-10-05,70.5,72.5,68.2,68.7,26488.107
2024-10-06,68.7,70.0,68.0,69.7,18852.885
2024-10-07,69.7,71.1,67.1,67.4,27989.276
2024-10-08,67.4,68.5,65.8,66.6,26005.511
2024-10-09,66.7,67.4,64.5,65.8,46193.513
2024-10-10,65.8,67.3,64.4,66.0,17455.554
2024-10-11,66.1,67.9,65.5,66.6,21939.04
2024-10-12,66.7,67.9,66.2,66.5,17048.111
2024-10-13,66.6,66.9,64.1,64.8,28415.27
2024-10-14,64.9,68.4,64.5,68.1,46013.55
2024-10-15,68.1,68.8,65.7,67.2,47234.36
2024-10-16,67.2,67.3,66.0,66.1,18390.106
2024-10-17,66.1,66.5,64.2,64.5,24786.421
2024-10-18,64.6,66.4,64.2,66.4,20322.541
2024-10-19,66.4,66.9,64.8,65.7,14766.267
2024-10-20,65.7,67.3,64.4,67.2,24058.744
2024-10-21,67.3,68.1,64.8,65.2,32680.814
2024-10-22,65.3,66.3,64.5,64.9,28670.553
2024-10-23,64.9,65.4,61.7,63.1,33030.458
2024-10-24,63.1,64.5,62.3,63.8,19229.48
2024-10-25,63.8,64.2,58.0,58.9,45060.461
2024-10-26,58.9,61.7,58.5,61.7,41004.06
2024-10-27,61.7,62.2,60.9,61.5,17062.391
2024-10-28,61.6,62.9,59.9,61.2,47324.977
2024-10-29,61.2,63.3,60.9,62.2,58324.204
2024-10-30,62.2,63.0,60.9,61.3,35304.992
2024-10-31,61.3,61.6,58.7,59.1,48525.079
2024-11-01,59.1,59.8,57.2,58.2,46450.127
2024-11-02,58.2,59.1,56.1,57.5,23443.62
2024-11-03,57.6,57.8,54.4,56.1,33864.898
2024-11-04,56.2,57.5,55.1,56.2,36838.639
2024-11-05,56.2,57.9,56.1,56.9,32304.461
2024-11-06,57.0,62.4,56.8,61.9,75689.634
2024-11-07,61.8,63.6,61.0,62.1,52786.746
2024-11-08,62.3,62.7,58.7,61.5,45347.758
2024-11-09,61.5,63.9,60.8,63.7,44062.185
2024-11-10,63.7,70.0,62.9,67.4,92326.066
2024-11-11,67.5,70.6,65.4,70.3,77946.19
2024-11-12,70.4,70.5,61.1,62.9,155874.368
2024-11-13,62.9,64.1,58.7,62.0,119434.668
2024-11-14,62.1,64.3,59.6,61.4,80251.829
2024-11-15,61.5,66.5,60.1,66.0,86030.366
2024-11-16,66.1,95.4,65.0,87.5,552808.66
2024-11-17,87.6,87.6,77.5,79.6,188124.934
2024-11-18,79.7,93.7,79.3,87.4,195489.853
2024-11-19,87.4,97.6,86.6,91.9,148390.091
2024-11-20,92.0,92.6,83.9,87.9,81559.277
2024-11-21,87.9,90.1,85.7,89.1,25435.944
