timestamp,open,high,low,close,volume
2024-08-14,12.11,12.34,11.35,11.41,53761.79
2024-08-15,11.4,11.47,10.29,10.46,83087.45
2024-08-16,10.47,10.65,10.06,10.25,71990.11
2024-08-17,10.26,10.69,10.17,10.61,46288.82
2024-08-18,10.6,11.54,10.55,11.1,88782.37
2024-08-19,11.1,11.56,10.88,11.42,94053.56
2024-08-20,11.43,11.62,11.06,11.47,68561.67
2024-08-21,11.47,11.99,11.39,11.86,78319.29
2024-08-22,11.87,12.12,11.77,12.0,37243.06
2024-08-23,12.0,16.0,11.98,14.73,593840.05
2024-08-24,14.73,15.0,13.79,14.06,127350.25
2024-08-25,14.09,14.11,13.01,13.68,85328.4
2024-08-26,13.69,13.75,12.64,12.67,49558.33
2024-08-27,12.67,13.11,12.16,12.34,54317.96
2024-08-28,12.34,12.5,11.65,12.04,43413.02
2024-08-29,12.04,12.55,11.72,11.94,50070.52
2024-08-30,11.92,12.15,10.84,11.42,121032.75
2024-08-31,11.42,11.73,10.8,11.01,56629.73
2024-09-01,11.01,11.24,10.53,10.65,50363.89
2024-09-02,10.65,11.39,10.53,11.29,60121.96
2024-09-03,11.29,11.45,10.73,10.77,84943.73
2024-09-04,10.75,10.9,10.16,10.61,75570.12
2024-09-05,10.61,10.77,9.85,9.88,67120.74
2024-09-06,9.88,10.13,9.0,9.29,106896.01
2024-09-07,9.31,9.93,8.84,9.04,147696.7
2024-09-08,9.05,9.55,8.92,9.42,73692.48
2024-09-09,9.44,13.26,9.33,11.64,1442338.99
2024-09-10,11.66,12.3,11.06,11.27,800685.85
2024-09-11,11.25,11.28,9.91,10.14,583410.27
2024-09-12,10.15,10.32,9.96,10.23,159448.07
2024-09-13,10.23,10.5,10.05,10.3,166209.12
2024-09-14,10.31,10.49,10.11,10.27,86766.36
2024-09-15,10.25,10.37,9.73,9.85,80730.94
2024-09-16,9.85,9.88,9.2,9.37,148625.34
2024-09-17,9.38,9.81,9.31,9.65,95876.49
2024-09-18,9.65,9.85,9.29,9.85,118288.08
