timestamp,open,high,low,close,volume
2024-08-14,1.207,1.227,1.156,1.169,2700176.0
2024-08-15,1.169,1.235,1.133,1.159,4815335.3
2024-08-16,1.16,1.199,1.114,1.142,2665415.4
2024-08-17,1.142,1.154,1.133,1.142,1072280.6
2024-08-18,1.142,1.171,1.126,1.129,1665692.7
2024-08-19,1.128,1.166,1.106,1.163,2656303.6
2024-08-20,1.163,1.205,1.141,1.181,3006829.4
2024-08-21,1.18,1.264,1.162,1.239,3746800.2
2024-08-22,1.238,1.335,1.229,1.322,4006916.4
2024-08-23,1.323,1.428,1.311,1.41,4692201.3
2024-08-24,1.412,1.456,1.383,1.416,3927905.2
2024-08-25,1.416,1.419,1.345,1.37,2692818.5
2024-08-26,1.37,1.406,1.316,1.325,3796510.5
2024-08-27,1.324,1.391,1.235,1.251,4576297.6
2024-08-28,1.251,1.304,1.205,1.244,3251323.7
2024-08-29,1.244,1.321,1.203,1.225,3421445.2
2024-08-30,1.224,1.247,1.168,1.22,3293235.5
2024-08-31,1.22,1.234,1.182,1.2,1348131.6
2024-09-01,1.2,1.206,1.132,1.149,2632615.8
2024-09-02,1.148,1.202,1.146,1.188,2033715.5
2024-09-03,1.187,1.209,1.127,1.131,2258517.4
2024-09-04,1.132,1.17,1.071,1.149,3394330.0
2024-09-05,1.148,1.155,1.096,1.108,2206282.7
2024-09-06,1.107,1.15,1.05,1.093,4175682.6
2024-09-07,1.093,1.163,1.093,1.125,2386754.2
2024-09-08,1.125,1.182,1.113,1.16,2000928.7
2024-09-09,1.16,1.217,1.15,1.189,2875605.5
2024-09-10,1.189,1.227,1.179,1.208,1876985.1
2024-09-11,1.208,1.208,1.151,1.186,2270215.6
2024-09-12,1.187,1.218,1.181,1.199,2550827.3
2024-09-13,1.198,1.302,1.191,1.295,7149970.1
2024-09-14,1.295,1.336,1.278,1.295,4065059.6
2024-09-15,1.295,1.35,1.294,1.295,3714300.8
2024-09-16,1.295,1.384,1.276,1.311,5378338.1
2024-09-17,1.311,1.341,1.267,1.299,3223890.4
2024-09-18,1.298,1.402,1.254,1.392,3766612.2
2024-09-19,1.393,1.432,1.372,1.402,3323593.6
2024-09-20,1.403,1.432,1.361,1.419,3135984.3
2024-09-21,1.42,1.458,1.39,1.44,3667448.1
2024-09-22,1.441,1.441,1.352,1.397,2599261.4
2024-09-23,1.396,1.42,1.356,1.387,4773445.7
2024-09-24,1.388,1.417,1.347,1.403,4309066.6
2024-09-25,1.403,1.43,1.361,1.386,4975236.8
2024-09-26,1.386,1.553,1.382,1.52,10139074.4
2024-09-27,1.521,1.546,1.489,1.519,3973091.0
2024-09-28,1.52,1.556,1.441,1.459,4940482.8
2024-09-29,1.459,1.519,1.429,1.476,3902428.6
2024-09-30,1.477,1.501,1.381,1.4,3950081.8
2024-10-01,1.399,1.472,1.3,1.303,8105638.6
2024-10-02,1.304,1.339,1.207,1.23,5322988.0
2024-10-03,1.229,1.268,1.186,1.232,4613623.4
2024-10-04,1.232,1.291,1.22,1.281,2611095.8
2024-10-05,1.279,1.318,1.263,1.281,2208580.2
2024-10-06,1.281,1.347,1.272,1.336,2057036.0
2024-10-07,1.336,1.375,1.298,1.301,3166735.8
2024-10-08,1.3,1.318,1.271,1.288,2800482.2
2024-10-09,1.287,1.307,1.218,1.228,2752508.3
2024-10-10,1.227,1.235,1.165,1.201,3367186.4
2024-10-11,1.201,1.296,1.192,1.288,2936927.4
2024-10-12,1.288,1.324,1.284,1.296,2067689.7
2024-10-13,1.298,1.3,1.236,1.284,2355143.8
2024-10-14,1.285,1.364,1.266,1.354,4006486.9
2024-10-15,1.355,1.373,1.293,1.332,4851327.5
2024-10-16,1.332,1.341,1.275,1.304,3131564.3
2024-10-17,1.304,1.31,1.222,1.247,2871236.6
2024-10-18,1.246,1.303,1.24,1.298,2283449.5
2024-10-19,1.299,1.321,1.279,1.298,1588008.8
2024-10-20,1.299,1.369,1.276,1.368,2894750.8
2024-10-21,1.369,1.399,1.324,1.325,4985454.9
2024-10-22,1.325,1.337,1.279,1.295,3459773.3
2024-10-23,1.296,1.298,1.205,1.247,3937419.0
2024-10-24,1.247,1.294,1.24,1.26,3085392.2
2024-10-25,1.26,1.266,1.08,1.138,4789844.4
2024-10-26,1.139,1.158,1.11,1.149,3003021.6
2024-10-27,1.15,1.18,1.135,1.172,1439548.3
2024-10-28,1.172,1.199,1.127,1.19,3179531.3
2024-10-29,1.19,1.242,1.189,1.221,4400103.0
2024-10-30,1.222,1.222,1.177,1.192,3245597.6
2024-10-31,1.193,1.195,1.112,1.128,3024619.1
2024-11-01,1.129,1.155,1.092,1.113,3571661.5
2024-11-02,1.114,1.127,1.083,1.1,1864129.4
2024-11-03,1.101,1.107,1.008,1.052,3845121.7
2024-11-04,1.053,1.081,1.0,1.02,3978500.5
2024-11-05,1.021,1.113,1.021,1.092,3377746.2
2024-11-06,1.092,1.225,1.091,1.213,7986297.6
2024-11-07,1.214,1.249,1.178,1.211,5200031.9
2024-11-08,1.213,1.26,1.173,1.224,6246869.8
