,Symbol,Holding_Period,Total_Return_no_tp_sl,Accuracy_no_tp_sl,Num_Signals,TP(%),SL(%),Total_Return_with_tp_sl,Accuracy_with_tp_sl,High_in_x_hours,Volume_Increase_Pct,Weight
0,1INCH-USD,96,-0.0821749080305111,93.33333333333331,15,25,20,-0.0821749080305111,93.33333333333331,432,20,0.0
1,AAVE-USD,168,0.3819560089271659,77.77777777777779,9,25,40,0.3819560089271659,77.77777777777779,648,20,4.4020540296479167e-16
2,ADA-USD,144,0.3998866500254044,85.71428571428571,7,25,40,0.1983286162946531,100.0,648,20,3.694566830753284e-17
3,ALGO-USD,144,0.6370831745016101,100.0,7,25,20,0.5953375999978675,100.0,432,40,4.122839418814178e-17
4,ALPHA-USD,144,0.1710216540241489,100.0,5,25,20,0.2362024740896593,100.0,720,20,7.876881040784682e-18
5,ANKR-USD,120,-0.1544849801930649,100.0,7,25,40,-0.1544849801930649,100.0,576,20,0.0
6,APT-USD,48,-0.0378490732972921,100.0,1,25,20,-0.0378490732972921,100.0,648,20,0.0
7,AR-USD,144,0.5362940516060908,81.81818181818183,11,25,40,0.1900960420579204,100.0,432,20,1.1571321158514497e-16
8,ARB-USD,48,-0.0315354274339423,100.0,1,25,20,-0.0315354274339423,100.0,72,20,0.0
9,ARKM-USD,120,0.4715319584034964,71.42857142857143,7,25,20,0.5154848920984396,85.71428571428571,504,80,0.0
10,ATOM-USD,144,0.1831719423544921,100.0,6,25,20,0.1831719423544921,100.0,360,20,0.0
11,AVA-USD,144,0.0219178922072445,75.0,8,25,20,0.0219178922072445,75.0,504,20,0.0
12,AVAX-USD,96,-0.0233442661257777,90.9090909090909,11,25,20,0.07125215192071,100.0,648,100,0.0
13,AXS-USD,96,0.3545689863832563,85.71428571428571,14,25,20,0.6098877152613504,85.71428571428571,360,40,0.0
14,BAL-USD,120,-0.0336048312540655,100.0,7,25,20,-0.0336048312540655,100.0,504,60,0.0
15,BAND-USD,48,0.2017717998505585,80.0,20,25,20,0.0949474588571341,80.0,648,20,1.1047166391808112e-16
16,BAT-USD,144,0.0541933192893355,80.0,5,25,40,0.102314880742981,80.0,648,100,0.0
17,BCH-USD,168,0.8486949793255677,77.77777777777779,18,25,20,0.6044236098807054,77.77777777777779,144,80,1.314604212022931e-16
18,BEL-USD,144,0.4587336788974429,83.33333333333334,6,25,40,0.1937255452638053,100.0,648,20,0.0022429557857669715
19,BNB-USD,48,0.1453100221621956,93.75,16,25,20,0.1453100221621956,93.75,504,40,3.75548033466533e-17
20,BNT-USD,144,0.2669914032772107,84.61538461538461,13,25,20,0.2669914032772107,84.61538461538461,288,20,1.2307434793992885e-16
21,BONK-USD,144,1.7152982736596407,100.0,7,25,40,0.4861723939859277,100.0,648,20,0.016717814930236424
22,BTC-USD,72,0.2903511544939398,85.71428571428571,14,25,20,0.2903511544939398,85.71428571428571,720,20,0.042711534684013286
23,CAKE-USD,168,0.8030390901379563,76.92307692307693,13,25,20,0.517634753912676,84.61538461538461,288,60,3.757411242121052e-17
24,CELO-USD,144,-0.2664093931845916,78.57142857142857,14,25,40,-0.2664093931845916,78.57142857142857,216,60,0.0
25,CHZ-USD,144,-0.0435817058827925,66.66666666666666,9,25,20,0.0454002309487632,66.66666666666666,648,20,3.8173865087414065e-17
26,COTI-USD,120,1.002899513847526,75.0,8,25,40,0.5767884092956714,87.5,720,60,0.018574381070010467
27,CRO-USD,144,0.9791846332824355,75.0,8,25,20,0.2362094437179309,75.0,360,20,0.048465135433304544
